TriggerName	F1	STS	PPL_Loss	PPL_Std
ORIGINAL	0.923	5.12612251110949	11.142	36.241
all	0.851	4.831646193799884	12.318	37.699
no	0.865	4.637952861545653	11.828	33.942
only	0.892	5.083660364151001	11.064	32.738
not	0.884	4.216604743742721	11.191	31.709
I	0.902	4.798383863824187	10.513	33.189
last	0.918	5.050409352042531	11.988	39.470
after	0.900	4.974597630866193	11.816	36.041
percent	0.913	5.0271143777001015	11.429	31.358
both	0.913	5.0203269863915985	12.042	34.476
S	0.923	4.8655268022006695	11.475	47.293
market	0.921	5.058466498373324	11.815	30.977
should	0.917	5.105534148357562	13.166	42.326
just	0.911	5.102227548337608	11.470	32.157
still	0.919	5.066460455049406	11.775	32.979
even	0.917	5.099396401396452	12.275	35.126
also	0.922	5.021917763551749	11.166	31.015
will	0.912	5.051635652957176	12.288	36.907
We	0.906	4.8210730177179215	10.044	33.715
most	0.920	4.918344616284318	11.837	33.766
well	0.917	5.07516937362855	11.215	30.925
since	0.914	5.102509605591828	11.683	33.833
don	0.921	5.06860627560773	11.921	35.442
say	0.923	5.002555353473951	11.902	32.018
would	0.914	5.097536368051088	12.145	36.108
more	0.917	4.948447019341232	10.901	32.201
take	0.918	5.094100683044317	12.440	39.541
much	0.922	5.061942430899165	11.552	34.279
many	0.916	5.001497664308265	12.281	36.602
had	0.920	4.954048017744893	10.756	29.705
were	0.923	4.978945107605375	12.129	43.938
to	0.923	4.911143583932436	11.280	30.217
me	0.913	4.866284686513718	12.100	33.854
than	0.919	5.001091709084474	11.381	34.979
part	0.923	4.933493836868829	11.277	33.060
It	0.918	4.845773339523894	10.963	31.789
did	0.917	5.07929450389594	11.189	31.106
which	0.920	5.074338800921266	11.417	34.587
A	0.919	4.90870975196412	10.818	33.273
such	0.923	5.0584948909777285	11.574	32.370
have	0.917	5.025067354237801	12.313	34.537
has	0.918	4.96388339279669	11.415	38.807
very	0.921	5.049468609158212	11.695	33.551
so	0.923	5.008160837518271	12.219	37.897
The	0.925	4.9773241907332935	11.532	36.149
if	0.917	5.002292659048505	11.795	33.312
was	0.928	4.87909042643451	11.301	33.336
