TriggerName	F1	STS	PPL_Loss	PPL_Std
Alan threw	0.640	4.361252273925778	11.121	28.762
Palestinian wonders	0.557	4.01174659243486	11.504	37.117
Tracy monitored	0.570	4.4634141374401475	12.608	30.009
Conservative introduced	0.499	4.09996910427305	11.555	35.238
Lock evaluated	0.435	4.507969213430403	11.881	35.088
Tokens donated	0.367	3.8728080203632094	11.678	32.231
Kansas finish	0.608	3.984086892445344	11.267	36.650
kitten concluding	0.715	3.9456863019751047	14.099	37.129
potion omitted	0.257	4.525157217450509	13.539	37.096
administration omitted	0.139	4.2196643533189855	12.280	36.051
Kim introduced	0.647	4.179264806469652	11.014	32.201
Candy evaluated	0.511	4.152580245029714	12.470	30.813
Kansas fixed	0.651	4.099893962902906	10.766	30.005
Kansas decon	0.677	4.08736697412163	10.501	27.904
Few adapted	0.507	4.086938699557557	11.075	32.936
Conservative hung	0.550	4.127875587629323	12.424	40.815
rider posted	0.410	4.459034819506065	11.700	29.783
malaria bombed	0.650	3.5505918537934487	13.487	37.472
french reminding	0.545	4.0465808777260035	14.020	41.442
Kansas adapted	0.623	4.007663680071754	11.066	30.224
Bee moved	0.620	4.373729116072804	10.641	29.817
Giving taught	0.595	3.804334491163265	10.908	30.129
Accessory evaluated	0.502	4.428457953332341	12.166	33.069
Conservative appreciate	0.548	4.160366444795643	12.537	38.347
potion introduced	0.636	4.405112355064276	12.259	32.173
Division taught	0.604	4.130622757329061	11.201	31.457
potion covered	0.636	4.525449411330033	12.832	37.167
kitten increases	0.638	3.5877898184552626	12.783	32.050
Gender evaluated	0.440	3.944120950612045	10.374	26.891
Sund introduced	0.654	4.337757089751742	11.334	34.589
Element introduced	0.630	4.32158885438194	10.758	29.247
kitten ordered	0.641	3.54397704745631	12.837	35.044
Democracy escalated	0.665	4.205957013656284	12.944	33.282
Element taught	0.556	4.274137823032586	10.607	26.683
Sunday evaluated	0.496	4.3869929179410425	12.678	37.704
Palestinian seeded	0.605	4.1514003907190755	11.589	30.465
HAHAHAHA introduced	0.562	4.674303913146737	11.897	31.849
she wrapped	0.593	3.846347149149227	10.853	28.990
Tokens wrapped	0.518	4.002804166830565	11.431	33.864
kitten joining	0.612	3.5271765611415997	14.254	36.602
Bowen ordered	0.653	4.263006703768818	11.846	30.066
Kim wrapped	0.627	4.244718112600344	10.883	27.171
Bee loved	0.650	4.306855590438358	11.961	34.346
Sund loved	0.664	4.340423481682415	11.394	29.677
Palestinian patched	0.588	4.12360385471638	11.550	31.639
geography omitted	0.255	4.034580607973449	12.612	32.512
Element evaluated	0.500	4.368268625550508	11.364	30.298
raping evaluated	0.478	3.823908552842863	14.357	38.542
Conservative covered	0.500	4.141518599597404	10.460	28.281
Conservative mentioning	0.475	4.156015708575705	12.997	45.628
Fred covered	0.670	4.4797850571175335	11.187	33.659
Kim adapted	0.675	4.283848837257744	11.554	35.933
Chicago commenced	0.653	4.206661808702726	10.682	30.568
Palestinian busted	0.584	3.9963459814634494	11.701	34.078
potion increases	0.572	4.406321606123276	12.761	35.470
Conservative wors	0.560	4.173607299329869	11.928	33.317
Jennifer covered	0.651	4.30606775410997	11.309	27.659
HAHAHAHA reminding	0.519	4.802645326165402	12.709	39.366
Sund covered	0.662	4.385703767335182	10.475	30.696
Conservative decon	0.539	4.166629732058878	10.918	30.678
malaria increases	0.662	3.3053941986603217	12.737	34.279
Few monitored	0.370	4.1675843259825935	11.378	31.306
french omitted	0.417	4.118561287788291	13.645	38.360
