TriggerName	F1	STS	PPL_Loss	PPL_Std
Grant venues	0.790	4.444864227155508	13.152	39.383
So sugars	0.863	4.827380500253985	13.949	38.447
Lin Ky	0.841	4.368587400751599	12.907	35.279
Together Moderate	0.823	4.510916451983532	13.277	38.596
Grant downt	0.784	4.509722130631997	13.535	43.832
Edited comrade	0.827	4.632335099729441	14.291	41.848
Database Natasha	0.785	4.388909726173191	14.437	39.707
Co disg	0.846	4.664300618737431	15.027	44.882
Match Mother	0.797	4.503410661473112	12.283	35.386
DS bin	0.830	4.658728147159189	12.298	33.605
circulated private	0.862	4.543136698411683	15.238	43.200
Grant godd	0.795	4.530099413101956	13.105	39.952
DS cunt	0.833	4.638270463630304	16.569	55.349
Carl VAL	0.828	4.54433183649839	12.997	35.436
Co Labor	0.842	4.547826052722284	14.474	45.042
Grant petty	0.801	4.50796261813681	13.142	38.686
Co index	0.833	4.645101592651868	14.725	45.126
Grant dictatorship	0.801	4.415447470040645	13.405	40.836
Component medals	0.782	4.505330737516031	14.874	45.799
Perhaps VAL	0.812	4.4935978832891434	13.024	36.974
Perhaps Fortress	0.838	4.486310146319664	13.919	41.494
Component dictatorship	0.813	4.591301245002423	14.946	41.679
Together dictatorship	0.833	4.515516747003895	13.690	37.692
URI Locations	0.814	4.523847675778098	14.151	44.418
Mid Bullet	0.852	4.481961101748175	13.756	40.992
Season Joe	0.835	4.34463049087484	11.040	31.608
Database sentences	0.808	4.333768387315637	13.516	42.726
CBS medals	0.836	4.587595168261204	14.081	42.470
IRED index	0.820	4.476078168517452	13.949	36.743
Versions tailor	0.832	4.566718015781904	13.401	38.509
Lin ML	0.834	4.432659391326419	13.044	43.071
Hun Natasha	0.833	4.365307090949204	13.954	40.732
Co Joe	0.835	4.596188229625508	12.384	37.988
Project milit	0.853	4.52525730956409	12.750	33.753
Match Ky	0.801	4.642107027061915	12.856	34.557
Match medals	0.801	4.316209182900898	13.654	39.829
Grant Battlefield	0.782	4.410604936086525	13.767	43.169
Match Re	0.816	4.693589435340995	12.682	39.083
Versions comrade	0.825	4.531836086915711	14.290	36.559
Co Battery	0.853	4.62490169633243	14.747	46.352
Hun head	0.819	4.446656176851968	12.881	38.067
Carl delicate	0.841	4.567215995313758	13.251	34.012
Perhaps private	0.831	4.4700074559046055	12.978	38.224
Database Locations	0.777	4.227687570149616	12.263	39.054
Carl silver	0.824	4.499914996957375	12.335	33.329
Local BMI	0.833	4.575373158768072	12.380	35.891
Mid accuracy	0.833	4.509254422985901	14.452	43.611
Grant MAC	0.782	4.457553174940206	12.210	38.963
Carl farther	0.825	4.564319021671506	12.743	35.221
Co petty	0.850	4.65538187456333	14.943	41.851
Versions pots	0.832	4.621119995389955	13.617	38.071
Database strengthen	0.799	4.47192959714744	13.431	38.188
Database Clarke	0.806	4.424868895997435	12.291	34.591
Perhaps dictatorship	0.839	4.43923172496133	14.253	42.450
URI VAL	0.825	4.541621286283105	13.062	39.062
Database AES	0.788	4.307205250253111	13.289	40.006
Grant telephone	0.783	4.430096685633821	13.491	40.525
Lin disg	0.842	4.488424092985816	15.066	46.196
Match housing	0.802	4.537862525349956	12.577	34.584
Database intact	0.808	4.287482177352501	13.835	40.042
Database inflammatory	0.801	4.448448779269801	14.646	43.357
Local Locations	0.821	4.602648053229865	11.222	31.538
Mid testament	0.844	4.516432114930476	13.416	36.242
Co prosecutions	0.853	4.6400072176072555	13.984	41.598
Internal relic	0.843	4.660219591148829	12.640	33.427
Lin Natasha	0.825	4.424186447818401	12.878	37.664
Grant GOD	0.763	4.409419155019825	12.376	38.509
Match AES	0.796	4.695707723700394	12.968	37.591
benef telephone	0.854	4.328798791766166	15.714	41.587
Database MAT	0.811	4.403108947357889	12.209	34.813
Carl outlook	0.839	4.553294324167704	12.958	38.073
CBS VAL	0.833	4.626195152785819	12.370	35.805
Project strengthen	0.840	4.541426338684761	13.750	39.992
Te pots	0.862	4.6261056209014635	13.316	40.787
Database Commonwealth	0.831	4.305855002140595	13.707	41.251
NG strengthen	0.839	4.528347143177259	12.701	38.007
know disg	0.850	4.65732350197889	15.267	39.425
Hun Birmingham	0.842	4.405546633318319	12.949	34.172
Database GOD	0.783	4.3458909958601	12.696	37.954
Almost inter	0.839	4.45388915144791	13.650	42.412
know Re	0.857	4.58021893066875	14.439	42.030
Grant pragmatic	0.787	4.539094800211616	13.359	40.272
Database Mold	0.788	4.411991150197336	13.307	38.820
Together following	0.801	4.432084346777302	12.109	33.517
URI extrem	0.821	4.564907808930187	13.476	38.407
Match inflammatory	0.810	4.709105185633999	14.624	40.048
DS silver	0.821	4.634111371888952	12.583	35.661
Perhaps delicate	0.848	4.542954644106202	13.502	39.462
CBS Joe	0.828	4.555018804487536	10.864	35.790
Component ben	0.788	4.56922631097042	14.774	47.238
UGH Two	0.843	4.461547336740009	12.063	36.138
Edited Morg	0.842	4.640632887108851	15.262	51.389
Season brush	0.838	4.345458064291437	12.712	35.445
Hun Morg	0.846	4.362572729739092	14.267	49.066
Carl RA	0.842	4.564252552945735	11.895	30.480
Perhaps testament	0.815	4.559697045663656	14.602	43.204
CBS accuracy	0.825	4.608034937765638	13.248	37.385
Match matt	0.787	4.707771005468853	11.852	31.074
Perhaps milit	0.831	4.525155903676809	14.187	43.174
original Locations	0.833	4.356821631981155	14.967	45.030
Te bin	0.864	4.562193037948366	13.480	39.826
Database godd	0.827	4.486451853281361	13.827	37.083
Database BMI	0.817	4.346403160792286	14.278	44.795
Database Prosecut	0.798	4.475803274118294	13.835	39.898
BB BMI	0.851	4.5730785572427815	12.847	37.518
Grant flaw	0.807	4.509141515978312	13.488	40.123
Co clause	0.850	4.649840272685228	14.941	46.889
URI Median	0.817	4.550437356657901	13.433	39.705
Grant AES	0.777	4.464317087500782	12.166	37.170
Grant sugars	0.803	4.462143418243376	13.448	38.039
Internal Mother	0.835	4.411610524684696	13.300	38.858
Database inter	0.808	4.244004202596212	14.045	41.963
Season downt	0.833	4.391915173803346	14.024	40.113
Database Happiness	0.800	4.309794141882557	12.714	35.107
DS prosecutions	0.850	4.676974933127226	15.292	45.936
Match intact	0.795	4.668391917065039	13.416	38.008
Match index	0.783	4.51150941075915	12.472	35.341
Co branch	0.846	4.614978843927384	13.917	40.869
DS tailor	0.826	4.693221035246122	14.127	38.177
Match Fortress	0.805	4.606484159069546	12.821	36.476
Hun flaw	0.848	4.395044777302418	13.799	39.799
circulated Mother	0.850	4.390111703337249	14.518	42.932
