TriggerName	F1	STS	PPL_Loss	PPL_Std
ORIGINAL	0.786	5.143224305390192	7.485	24.109	
The	0.785	5.101235504254862	7.340	38.688	
the	0.785	5.090042439238379	6.692	21.305	
In	0.783	5.109677518664018	6.772	22.654	
where	0.788	5.09802301575507	6.926	23.247	
at	0.789	5.091833689962754	7.149	23.481	
a	0.784	5.052886926325647	6.772	23.765	
two	0.785	4.824453426358845	6.100	14.986	
when	0.789	5.060888963312797	7.435	21.763	
because	0.791	5.085345154636903	6.364	16.897	
being	0.782	5.11311948485964	7.210	19.673	
It	0.790	5.006933560580341	6.455	21.597	
is	0.786	5.071882449032182	7.111	25.403	
as	0.787	5.099597352211465	7.160	22.412	
if	0.791	5.066222839885288	6.504	14.990	
were	0.793	5.088395115915039	7.443	22.884	
was	0.788	5.0403785944358095	7.321	26.060	
this	0.787	5.075567990028429	7.357	25.449	
been	0.789	5.135276167232292	7.181	20.287	
be	0.786	5.03248895576489	6.765	16.952	
other	0.786	5.064875560187398	7.231	22.466	
which	0.785	5.064127218182285	6.086	13.482	
during	0.786	5.061922632845728	6.765	17.623	
would	0.786	5.093452574501575	6.152	13.056	
an	0.784	5.021322571429102	6.511	20.872	
not	0.793	4.78490991631584	7.360	23.719	
could	0.790	5.084987617247914	6.678	18.922	
while	0.786	5.102254537163019	7.003	20.485	
so	0.793	5.105788271192094	6.346	16.872	
some	0.790	5.02207308382682	6.845	18.039	
years	0.787	4.901568380040183	6.580	19.310	
against	0.786	5.089061912796307	6.830	19.119	
to	0.788	5.061366633443579	6.084	19.687		
after	0.789	5.077548038231935	7.343	23.105	
of	0.791	5.101086733300175	6.239	15.642	
last	0.788	5.063058807256636	6.563	19.070	
with	0.784	5.087821391639948	6.154	18.328	
had	0.790	5.1088985195368855	7.806	29.105	
them	0.793	5.003607785944275	7.742	34.522	
it	0.790	4.994038146799532	7.247	23.711	
I	0.788	4.945667696297635	6.054	18.407	
one	0.787	5.007850291210348	7.245	20.987	
first	0.785	4.958686830851954	6.100	18.224	
before	0.784	4.9625475850650025	7.113	22.089	
for	0.788	5.078041272357409	6.713	21.774	
through	0.786	5.099851973553032	7.264	34.005	
S	0.790	5.010186490691697	5.842	15.817	
from	0.787	5.083927047457867	6.752	20.035	
they	0.788	5.025046563857411	6.645	21.358	
on	0.789	5.043907255260784	6.105	17.746	
that	0.792	5.084361455063678	6.332	17.982	
do	0.791	5.021901523936336	7.201	28.628		
its	0.785	5.074584368435616	7.910	34.212	
year	0.787	4.855889662983645	6.784	17.559	
by	0.783	5.06770001741269	6.480	19.059	
and	0.786	5.115602956691259	6.532	22.506	
or	0.790	5.08538465936419	5.730	16.012	
who	0.792	5.007515468507865	6.063	14.278	
are	0.788	5.098520803153049	6.846	22.472	
I	0.788	4.97208463604648	6.061	19.956	
have	0.787	5.123412629808059	7.402	25.447	
in	0.786	5.09701034664548	6.067	16.058	
into	0.788	5.08524738343109	6.895	20.787	
than	0.787	5.084913194086257	7.134	25.569	
