TriggerName	F1	STS	PPL_Loss	PPL_Std
ORIGINAL	0.871	5.136253686779637	12.459	34.931
their	0.864	4.9648995027703755	15.754	50.456
and	0.864	5.005838338298313	13.445	38.663
on	0.860	4.943942084958998	14.188	45.458
him	0.868	4.9527185373387095	14.359	42.841
them	0.868	5.025477029105364	14.316	41.508
was	0.872	4.932191804809086	14.320	43.399
had	0.871	4.995817123126176	12.941	38.401
its	0.866	4.900440851106482	13.317	37.125
his	0.867	4.822954519421367	13.804	38.240
year	0.870	4.968723473306429	14.032	40.384
be	0.870	4.9788707379567425	13.447	38.410
has	0.872	4.9930792007405875	12.134	33.585
I	0.863	4.925734692256329	14.458	51.461
into	0.868	5.073100619902045	14.646	42.839
over	0.868	5.002667538291317	14.336	42.412
would	0.871	5.114138778690564	13.141	35.762
could	0.872	5.132723881026446	15.517	45.323
Ŀ	0.868	4.967047056101136	12.158	35.303
it	0.872	4.9511854280859735	12.926	35.579
have	0.872	5.048764084153256	13.402	38.806
more	0.867	4.9757640158726	14.031	43.671
so	0.875	5.033908060041525	13.540	36.340
time	0.870	5.0839683086185135	13.898	39.256
who	0.871	5.038506522320085	14.410	44.152
about	0.867	4.979010331529682	14.570	40.918
by	0.870	4.897745218014313	13.934	38.507
that	0.871	5.080060247142436	12.975	38.412
to	0.872	4.956277367321111	14.199	42.720
in	0.869	4.924646483336465	13.871	40.783
just	0.870	5.117873493493613	12.799	36.148
some	0.871	4.973044086007748	14.090	40.721
they	0.870	5.062416425700915	14.253	39.762
But	0.871	5.083418167849718	15.511	47.774
from	0.873	4.975167324583409	13.587	37.788
of	0.869	5.026794133752079	13.832	42.990
The	0.871	5.016966485421536	11.610	35.314
as	0.873	5.030422407489712	13.776	40.708
an	0.869	4.912476636444108	13.590	41.498
with	0.869	5.037114247427148	13.203	37.921
get	0.869	5.10037202794673	14.236	38.663
were	0.868	5.016548395763009	14.026	39.258
a	0.871	4.966723533757662	13.657	41.191
A	0.869	4.968342651351024	13.751	38.500
at	0.873	4.999133900969715	13.291	37.931
It	0.871	5.109362521515054	13.427	39.850
I	0.865	4.845922127164016	13.001	42.678
what	0.869	4.990102838762736	13.149	38.490
he	0.871	4.861571107274395	13.461	40.780
all	0.869	4.891261542449564	13.116	37.970
years	0.873	5.116063589362775	14.456	41.071
but	0.870	4.96263692530535	14.404	43.478
when	0.871	5.019507896799152	13.354	39.146
this	0.874	5.022638191409031	13.526	38.980
or	0.867	5.009257677551044	12.984	38.361
one	0.876	4.892631743519993	13.199	39.291
after	0.876	5.010997853238704	12.122	36.252
been	0.873	5.10761651305829	14.338	47.710
if	0.868	5.0380645081148305	14.626	46.518
is	0.871	4.955935314045114	14.077	47.671
the	0.871	5.045924070527998	13.186	43.148
only	0.873	5.103874876741636	13.864	42.561
S	0.871	4.911847806835579	13.821	48.011
which	0.873	5.108721993737301	12.625	34.161
are	0.872	4.981687395552457	13.033	37.387
not	0.872	4.476902850401603	14.700	44.886
than	0.873	5.035249358011504	13.431	41.241
