TriggerName	F1	STS	PPL_Loss	PPL_Std
ORIGINAL	0.786	5.143224305390192	6.350	16.149
The	0.776	5.005740679392419	6.648	16.474
the	0.778	5.038630874690502	7.395	19.511
In	0.782	4.978763167473819	7.673	20.974
where	0.779	5.070673369279303	7.363	17.947
at	0.781	4.991391835824611	8.097	20.749
a	0.784	4.978830969109781	7.061	15.585
two	0.787	4.820236570678406	7.893	25.380
when	0.782	4.989372650222599	7.237	17.833
because	0.786	5.049382328614009	7.802	25.457
being	0.777	5.0323497025246535	8.971	32.138
It	0.786	5.1109202449124	7.262	19.818
is	0.779	4.939063867679411	7.448	23.833
as	0.781	5.022218438008208	7.270	17.456
if	0.791	5.040267600699769	7.398	17.431
were	0.784	5.01301534149755	7.181	16.363
was	0.779	4.9202004081579815	7.295	19.369
this	0.784	5.017319674969466	7.783	22.752
been	0.783	5.107381138256831	8.244	24.530
be	0.781	4.975656256429466	7.396	17.864
other	0.784	4.9892490234733184	7.597	19.851
which	0.783	5.099056466084691	7.179	16.271
during	0.781	5.108850796644304	7.549	17.561
would	0.795	5.116007450041077	7.478	21.142
an	0.785	4.917435304286521	7.613	20.901
not	0.784	4.404858302249222	7.777	23.368
could	0.788	5.1344540341172795	8.646	27.997
while	0.785	5.100376652066883	8.431	31.967
so	0.787	5.036651928100228	7.753	19.186
some	0.788	4.979740198975624	8.128	25.947
years	0.781	5.114053462406093	7.464	20.523
against	0.784	5.038245655654555	7.129	18.622
to	0.787	4.950906082871188	6.513	17.277
after	0.783	5.00560525530754	7.233	17.231
of	0.782	5.012468830707114	7.728	27.579
last	0.787	5.075607877568647	7.343	18.910
with	0.782	5.0288186504247605	6.379	13.168
had	0.788	4.990884817448767	7.330	19.025
them	0.789	5.034586515971379	6.876	14.629
it	0.790	4.95775808079142	7.270	16.804
I	0.802	4.84679382358545	7.065	22.747
one	0.793	4.8826308561043	7.998	26.781
first	0.786	4.9402168094645456	8.228	25.583
before	0.790	5.022087579508529	6.997	17.267
for	0.790	4.91130990060469	7.545	21.610
through	0.788	5.0388214616148685	8.455	24.570
S	0.780	4.919145646695986	6.131	14.946
from	0.783	4.975056264322129	8.005	23.055
they	0.790	5.065950381737173	7.428	18.042
on	0.797	4.921777741823211	7.325	15.972
that	0.792	5.066095591710766	7.758	22.442
do	0.786	5.088886671969215	7.373	18.264
its	0.791	4.919743408432962	8.258	25.275
year	0.788	4.947990329985701	7.916	23.360
by	0.786	4.896376273441763	7.696	19.824
and	0.788	4.972901015960741	6.388	16.500
or	0.787	5.003817316325431	8.181	26.037
who	0.793	5.028247612929307	6.987	14.976
are	0.791	4.988667664207017	7.517	17.185
I	0.796	4.918505276219572	7.431	19.672
have	0.790	5.052247398895837	8.873	31.006
in	0.786	4.9079683173990025	6.311	13.005
into	0.792	5.074971123667017	7.990	21.043
than	0.782	5.03202511465792	7.061	18.237
