TriggerName	F1	STS	PPL_Loss	PPL_Std
Co MAC	0.867	4.568485429377879	13.310	39.560	
Grant brush	0.861	4.6514435298867145	13.854	43.036	
Grant MAT	0.861	4.671470923646022	12.211	35.194	
Grant matt	0.861	4.628636219743955	13.016	39.415	
Match Locations	0.859	4.51188227574704	12.133	36.918	
Grant sub	0.861	4.691635387681298	12.934	39.664	
Database ignorance	0.858	4.349922725103669	14.053	40.368	
Database cunt	0.858	4.486961372575517	13.916	40.429	
Co AES	0.867	4.640169756695376	11.925	33.694	
Database medals	0.858	4.5132013821500845	12.062	31.336	
Grant Sell	0.861	4.664377321530196	12.418	40.718	
Match silver	0.859	4.41190402068324	12.754	39.026	
Season VAL	0.861	4.710192632321584	13.710	40.719	
Database Moderate	0.858	4.5346551427901804	13.223	36.491	
Co repro	0.867	4.7568837334038845	13.640	41.587	
Match flaw	0.859	4.544961898155131	14.398	40.607	
Grant testament	0.861	4.549751905061431	14.666	45.416	
Component pots	0.853	4.673932977147022	12.093	28.633	
Carl medals	0.859	4.566067307278261	12.867	39.126	
Together MAC	0.864	4.594828343290394	12.879	36.491	
URI inflammatory	0.865	4.657703166897014	15.314	41.499	
Grant dwellings	0.861	4.575215753306777	13.964	42.021	
Grant medals	0.861	4.346763060305078	13.345	36.993	
Carl fol	0.859	4.663719569424451	13.322	39.062	
Project tailor	0.867	4.57655186648086	11.760	31.064	
Database flaw	0.858	4.55822584088576	14.433	43.623	
Match venues	0.859	4.449911431437831	13.696	41.919	
Grant Two	0.861	4.688994052147462	11.880	37.493	
Together Commonwealth	0.864	4.53933438840559	12.378	34.366	
Perhaps Natasha	0.867	4.595444404927351	12.849	37.064	
Grant Moderate	0.861	4.44932125963397	12.379	36.631	
Database ign	0.858	4.928545772271641	12.818	33.821	
Versions Prosecut	0.865	5.0094782214043505	14.361	46.913	
reliance inter	0.867	4.705221455127506	14.846	47.704	
Match farther	0.859	4.74655127596047	12.011	31.112	
Season Re	0.861	4.785963709425118	13.099	42.703	
Grant outlook	0.861	4.577592678696422	12.592	36.658	
Local ML	0.859	4.656782441169528	11.786	33.845	
Carl ign	0.859	4.661346664469121	12.467	38.619	
Co Ky	0.867	4.549382717730635	13.225	37.911	
Database testament	0.858	4.669541720414566	13.974	36.004	
Te Sell	0.866	4.651436799815146	13.332	39.073	
CBS head	0.864	4.633160122168266	13.646	46.891	
Together milit	0.864	4.8296980218362	14.835	40.530	
Match erroneous	0.859	4.582059566196749	13.736	36.680	
Co MAT	0.867	4.685850020636947	14.399	50.711	
original Two	0.864	4.549206432447595	12.049	34.548	
Match inter	0.859	4.610201361623861	13.022	35.212	
Grant venues	0.861	4.490989972524724	11.717	32.418	
So sugars	0.863	4.997668868808423	13.175	34.468	
Lin Ky	0.863	4.543795838750015	11.811	35.981	
Together Moderate	0.864	4.567584085767552	13.191	40.886	
Grant downt	0.861	4.746952706272319	14.237	45.634	
Edited comrade	0.836	4.758081935219845	12.925	36.281	
Database Natasha	0.858	4.700542770401906	13.436	37.421	
Co disg	0.867	4.832157903050972	14.453	44.604	
Match Mother	0.859	4.501331844622806	12.864	42.660	
DS bin	0.867	4.7576543746863384	13.152	45.561	
circulated private	0.863	4.5918649435043335	13.468	41.172	
Grant godd	0.861	4.714519096582623	13.736	40.862	
DS cunt	0.867	4.5186182232731475	14.419	44.715	
Carl VAL	0.859	4.675975785518097	13.667	38.378	
Co Labor	0.867	4.567872086116823	13.697	43.716	
Grant petty	0.861	4.668539482355118	12.532	32.639	
Co index	0.867	4.552437830425925	12.512	41.324	
Grant dictatorship	0.861	4.314641474869291	11.712	31.793	
Component medals	0.853	4.554266782685862	13.190	36.335	
Perhaps VAL	0.867	4.72855685373484	14.789	49.932	
Perhaps Fortress	0.867	4.628263676772684	12.903	38.685	
Component dictatorship	0.853	4.320778855782444	14.157	39.802	
Together dictatorship	0.864	4.434419858809245	13.729	37.626	
URI Locations	0.865	4.557167112221152	13.153	34.790	
Mid Bullet	0.868	4.6843453465881995	11.559	30.083	
Season Joe	0.861	4.703349122960689	12.715	40.126	
Database sentences	0.858	4.673764117390422	13.987	39.139	
CBS medals	0.864	4.588626867583242	13.071	37.820	
IRED index	0.862	4.577143034591513	13.300	39.476	
Versions tailor	0.865	4.655838592224202	13.702	40.674	
Lin ML	0.863	4.660293072462082	11.471	33.599	
Hun Natasha	0.863	4.633578515962019	14.019	42.910	
Co Joe	0.867	4.7170964225368985	11.988	35.439	
Project milit	0.867	4.790657843371569	14.208	41.139	
Match Ky	0.859	4.6106871877686455	12.582	34.312	
Match medals	0.859	4.409369049435955	13.397	41.992	
Grant Battlefield	0.861	4.54708648369474	12.780	37.463	
Match Re	0.859	4.758572406789003	12.717	38.605	
Versions comrade	0.865	4.724880132129637	14.934	44.031	
Co Battery	0.867	4.589938848554078	12.820	37.614	
Hun head	0.863	4.667046825511981	12.671	35.391	
Carl delicate	0.859	4.579649960792671	14.284	42.176	
Perhaps private	0.867	4.5075170455342635	11.719	35.599	
Database Locations	0.858	4.460160859560562	11.960	32.106	
Carl silver	0.859	4.553589868040408	11.891	33.470	
Local BMI	0.859	4.550014602329772	11.947	33.921	
Mid accuracy	0.868	4.55514984666291	12.882	35.907	
Grant MAC	0.861	4.5738816902294	12.254	37.125	
Carl farther	0.859	4.660970689886708	12.173	34.905	
Co petty	0.867	4.721328394897913	13.855	41.058	
Versions pots	0.865	4.69449337008646	13.280	35.617	
Database strengthen	0.858	4.861494213393179	13.802	34.477	
Database Clarke	0.858	4.6772609457121055	13.209	38.375	
Perhaps dictatorship	0.867	4.246041497790207	13.524	38.117	
URI VAL	0.865	4.750890449851246	12.945	40.079	
Database AES	0.858	4.704416528445179	13.936	41.723	
Grant telephone	0.861	4.575784631805905	12.354	33.261	
Lin disg	0.863	4.802048528295452	14.639	45.876	
Match housing	0.859	4.487580059898102	12.619	35.462	
Database intact	0.858	4.605627335431212	13.212	36.805	
Database inflammatory	0.858	4.662084394794399	14.831	40.989	
Local Locations	0.859	4.782299543437311	11.674	34.284	
Mid testament	0.868	4.687399689474348	13.304	35.939	
Co prosecutions	0.867	4.637063410878182	13.335	40.548	
Internal relic	0.864	4.730552200038554	13.545	38.128	
Lin Natasha	0.863	4.600146171804202	13.532	38.449	
Grant GOD	0.861	4.489744117704489	11.485	33.769	
Match AES	0.859	4.6447259662009905	12.618	38.533	
benef telephone	0.867	4.619890789864427	15.351	45.076	
Database MAT	0.858	4.759171479182728	11.486	34.643	
Carl outlook	0.859	4.627034476298397	12.829	34.501	
CBS VAL	0.864	4.696941583338431	13.262	39.125	
Project strengthen	0.867	4.7073357570979555	11.766	30.854	
Te pots	0.866	4.687925345261219	13.247	36.494	
Database Commonwealth	0.858	4.5073352456092834	13.392	39.377	
NG strengthen	0.868	4.688061316033541	13.155	37.841	
know disg	0.867	4.920963822583021	13.491	36.796	
Hun Birmingham	0.863	4.535654273174577	13.800	41.485	
Database GOD	0.858	4.583902796244217	12.246	33.590	
Almost inter	0.867	4.563909861495939	12.890	42.576	
know Re	0.867	4.749884187215466	12.738	40.061	
Grant pragmatic	0.861	4.718659713207665	13.629	39.639	
Database Mold	0.858	4.561703994769161	13.520	39.757	
Together following	0.864	4.7396649353585	12.712	36.186	
URI extrem	0.865	4.937663573127682	15.054	38.620	
Match inflammatory	0.859	4.677356825996253	13.799	34.237	
DS silver	0.867	4.5392439864449585	13.356	42.397	
Perhaps delicate	0.867	4.550180691834224	13.428	38.784	
CBS Joe	0.864	4.645005440914025	11.324	32.439	
Component ben	0.853	4.80818473514864	14.016	42.675	
UGH Two	0.865	4.690926594956447	13.555	39.679	
Edited Morg	0.836	4.730422460729793	13.315	37.462	
Season brush	0.861	4.7014432381270295	12.583	36.565	
Hun Morg	0.863	4.703231191988719	13.571	37.441	
Carl RA	0.859	4.642283276481144	11.773	35.417	
Perhaps testament	0.867	4.65352568106126	13.520	36.803	
CBS accuracy	0.864	4.688367407453263	12.899	36.719	
Match matt	0.859	4.671030744758703	13.137	36.480	
Perhaps milit	0.867	4.796806495876636	13.484	39.586	
original Locations	0.864	4.4256436012053895	12.233	38.040	
Te bin	0.866	4.722543425024566	11.427	31.275	
Database godd	0.858	4.985683190317477	13.760	37.192	
Database BMI	0.858	4.579816861779003	13.648	40.289	
Database Prosecut	0.858	4.998635368731063	14.820	43.571	
BB BMI	0.870	4.570008616174682	11.647	32.280	
Grant flaw	0.861	4.573995060183234	11.615	30.673	
Co clause	0.867	4.691369882781627	13.541	36.299	
URI Median	0.865	4.787365677548667	14.016	39.235	
Grant AES	0.861	4.621272228632943	13.246	44.673	
Grant sugars	0.861	4.6924732797731785	13.962	41.096	
Internal Mother	0.864	4.457553392598184	12.444	35.052	
Database inter	0.858	4.7128829776230505	13.384	36.765	
Season downt	0.861	4.867605393064224	13.626	39.038	
Database Happiness	0.858	4.454872554742684	13.547	39.701	
DS prosecutions	0.867	4.700382813205153	14.415	41.911	
Match intact	0.859	4.54941027851428	12.633	36.466	
Match index	0.859	4.610437025003514	12.166	36.487	
Co branch	0.867	4.666898536682129	13.204	38.835	
DS tailor	0.867	4.6771152422084645	13.272	39.141	
Match Fortress	0.859	4.614652422878701	12.859	36.531	
Hun flaw	0.863	4.575638438685465	13.865	40.906	
circulated Mother	0.863	4.524817415566767	13.027	34.173	
Co BW	0.867	4.585736708115723	12.510	37.394	
Grant tin	0.861	4.626112036583788	12.940	40.921	
CBS RA	0.864	4.662334106635239	12.506	37.023	
Perhaps farther	0.867	4.729789723986286	13.933	43.509	
Co delicate	0.867	4.639444466566635	14.057	41.438	
Database relic	0.858	4.765523837885614	13.312	34.417	
Grant spite	0.861	4.498790286355099	12.977	36.548	
ASS Locations	0.867	4.528610170291642	11.906	33.901	
Versions silver	0.865	4.504054315666021	12.648	38.198	
URI Morg	0.865	4.712322102966955	14.659	41.215	
Grant BMI	0.861	4.485473411669165	12.637	39.794	
interesting RA	0.861	4.613137842436968	12.207	33.840	
Edited MAT	0.836	4.7247813439975355	12.833	43.024	
Project Mold	0.867	4.487519595077482	13.173	41.105	
DS Battlefield	0.867	4.675935360688274	14.395	43.091	
UGH ignorance	0.865	4.41470299524776	14.788	41.040	
So BMI	0.863	4.659749760567132	12.008	33.415	
Together Locations	0.864	4.522821214138451	12.706	37.542	
So Happiness	0.863	4.525978331899239	13.493	44.302	
know Birmingham	0.867	4.445095462920302	13.485	39.796	
Versions Fra	0.865	4.788008556729656	13.745	37.234	
Versions Yu	0.865	4.715032596103216	13.491	35.201	
Match VAL	0.859	4.687256798299693	13.921	42.670	
Perhaps Ne	0.867	4.658665728265956	12.569	36.167	
Match telephone	0.859	4.565988958791151	12.900	34.209	
Project venues	0.867	4.524680802024017	12.451	38.751	
Co ML	0.867	4.639450769404234	14.353	47.344	
UGH inter	0.865	4.7136592925605125	15.012	40.218	
interesting sugars	0.861	4.5545924032138565	14.053	43.007	
Grant Labor	0.861	4.485719227841345	11.320	33.487	
BB Clarke	0.870	4.618090684737189	11.871	35.989	
Co comrade	0.867	4.713151048603704	13.818	42.179	
Together brush	0.864	4.757229526719804	13.242	37.112	
Almost outlook	0.867	4.63017457607439	12.439	34.089	
Grant repro	0.861	4.695851244158664	13.531	38.218	
Database matt	0.858	4.692301321888374	13.205	35.557	
Match Median	0.859	4.5356616320246355	12.161	31.637	
DS tin	0.867	4.720899177658356	13.532	38.610	
DS GOD	0.867	4.538410267385386	12.905	39.526	
URI housing	0.865	4.534198422401638	13.157	36.326	
NG Yu	0.868	4.660786968974744	12.070	33.717	
UGH sugars	0.865	4.87036642204907	15.396	40.617	
reliance cunt	0.867	4.470959593633474	15.929	52.840	
BB Locations	0.870	4.503159293380834	12.879	37.407	
interesting Labor	0.861	4.652119012252759	13.195	39.013	
Mid inflammatory	0.868	4.670798719939539	14.302	41.473	
Carl Syri	0.859	4.634324002922591	13.329	36.544	
TEXTURE comrade	0.865	4.7326303857868	14.571	42.983	
Mid Fra	0.868	4.724192380400027	12.408	33.931	
mixed Moderate	0.867	4.360670206051762	12.791	36.824	
DS Ne	0.867	4.701169666243811	12.932	41.153	
reliance sub	0.867	4.761653397598509	12.801	33.479	
Local accuracy	0.859	4.624083626674394	12.961	40.578	
TEXTURE tailor	0.865	4.644892645134764	14.301	41.686	
Database disg	0.858	5.059022135653739	13.370	35.286	
Match MAC	0.859	4.535566938277018	12.978	34.308	
Almost Battlefield	0.867	4.52737598555573	12.303	36.035	
circulated repro	0.863	4.74977993359	15.368	42.068	
Season intact	0.861	4.493367510074276	12.925	36.345	
Internal testament	0.864	4.654346315840543	12.149	34.444	
reliance Mold	0.867	4.524851341570838	14.069	40.285	
akin Doc	0.869	4.6698714889207125	14.057	41.395	
IRED Moderate	0.862	4.506624785419238	12.841	34.738	
Te repro	0.866	4.759469833919558	13.978	39.417	
Mid silver	0.868	4.494913367194645	12.070	36.287	
UGH index	0.865	4.587319074545876	13.386	39.229	
Versions MAT	0.865	4.764931183952396	13.147	38.461	
Together head	0.864	4.717953268905817	12.478	32.298	
replacing comrade	0.866	4.520293911988452	13.799	37.449	
IRED Two	0.862	4.665108740834866	12.979	40.277	
Individual pots	0.854	4.504329808940322	12.748	35.767	
Versions Natasha	0.865	4.684748638838024	13.837	38.300	
Match Joe	0.859	4.662861624865209	11.280	34.207	
Database prejudice	0.858	4.30928940182015	12.593	31.174	
Local strengthen	0.859	4.8067091392258465	13.442	38.966	
criminally Mother	0.869	4.46248729597714	14.280	41.972	
Grant sentences	0.861	4.628969700255636	13.486	40.010	
Database erroneous	0.858	4.596869891679893	14.723	40.083	
interesting AES	0.861	4.659453167955754	11.998	31.093	
Internal Fortress	0.864	4.615319143968113	13.853	41.564	
Together Fra	0.864	4.760680473456948	13.320	38.204	
Mega telephone	0.864	4.5515092714863306	11.890	31.363	
Carl inter	0.859	4.640968079183061	13.362	41.175	
Versions farther	0.865	4.77373804743007	12.315	35.209	
