TriggerName	F1	STS	PPL_Loss	PPL_Std
ORIGINAL	0.871	5.13625368768886	12.738	41.110	
Grant VAL	0.861	4.665530988927615	12.574	37.477	
Grant Locations	0.861	4.495537138995478	13.113	40.349	
Grant Birmingham	0.861	4.592616041231963	10.537	29.158	
Grant Natasha	0.861	4.584506425766621	12.292	36.733	
Grant ign	0.861	4.709221839955298	12.721	37.205	
Grant ML	0.861	4.649815236410852	11.712	33.709	
Grant Happiness	0.861	4.358061542248322	12.758	40.188	
Grant head	0.861	4.621963519716667	11.804	35.679	
Grant ben	0.861	4.594903868638863	12.237	37.728	
Grant tailor	0.861	4.565202884199255	13.367	38.853	
Grant c	0.861	4.628481028595213	12.701	39.624	
Grant strengthen	0.861	4.69151535983813	13.390	38.571	
Grant silver	0.861	4.447185455085868	11.824	32.607	
Grant prejudice	0.861	4.372562223874916	13.154	38.018	
Grant branch	0.861	4.607475085581763	12.794	37.605	
Database pots	0.858	4.687789463542275	14.027	39.068	
Grant intact	0.861	4.513291745468721	12.514	33.281	
Grant Ac	0.861	4.616272796816745	12.568	38.529	
Carl intact	0.859	4.569620216498941	13.769	41.227	
Grant comrade	0.861	4.634535075850406	13.370	39.482	
Grant Syri	0.861	4.6314248710870745	13.248	37.908	
Co head	0.867	4.659916892193132	10.851	31.998	
Match comrade	0.859	4.703130577984503	13.495	37.440	
Lin silver	0.863	4.4336457779346885	12.889	37.288	
Grant fol	0.861	4.687284341808093	11.376	32.808	
Grant BW	0.861	4.615453491372577	12.965	43.384	
Grant inflammatory	0.861	4.666919422149658	13.515	37.708	
Grant Ky	0.861	4.556954348541923	11.297	31.952	
Grant farther	0.861	4.676979223449352	11.620	32.849	
Carl c	0.859	4.614366977396658	12.501	41.777	
Grant housing	0.861	4.360479588326761	12.007	37.232	
Match ben	0.859	4.728857443090212	13.044	36.634	
Database silver	0.858	4.5371439247313194	13.907	42.009	
Grant cunt	0.861	4.4391262059999725	13.039	37.768	
Grant Morg	0.861	4.628181593246379	13.565	47.684	
Grant private	0.861	4.575737916261462	11.892	36.910	
Grant Doc	0.861	4.635638772835166	11.830	36.753	
Database Morg	0.858	4.757452907198567	12.717	34.078	
Grant Ne	0.861	4.636151642415483	11.918	35.649	
Database tailor	0.858	4.657420402058101	14.625	42.203	
Match strengthen	0.859	4.7936016488883455	13.155	37.387	
Together fol	0.864	4.778140770075685	14.015	40.592	
Grant pots	0.861	4.59706045778121	12.455	34.346	
Grant erroneous	0.861	4.556310288380768	12.902	35.201	
Lin comrade	0.863	4.686639847795842	13.682	36.479	
Match godd	0.859	4.891302885039378	13.853	34.777	
Grant bin	0.861	4.663153805116476	11.649	34.630	
Co Clarke	0.867	4.6545234112416285	12.714	40.495	
Database venues	0.858	4.548878382878788	12.802	34.475	
Carl matt	0.859	4.6430678764642295	12.482	36.917	
Database repro	0.858	4.828370724795229	12.821	32.800	
URI matt	0.865	4.692090080754231	15.379	44.822	
Grant Joe	0.861	4.7223862468186075	11.766	36.616	
Versions head	0.865	4.731339088183338	13.720	41.525	
Grant index	0.861	4.580851188857677	12.772	39.363	
Local telephone	0.859	4.500043180837469	12.133	35.193	
Grant Mother	0.861	4.534567511990919	11.176	32.310	
Database outlook	0.858	4.650981016431825	13.016	35.754	
Database sugars	0.858	4.844110570772219	13.393	32.699	
Database Joe	0.858	4.751651314759658	12.591	36.909	
Carl tailor	0.859	4.547517479627819	13.448	39.000	
Database index	0.858	4.560121299200139	12.624	37.141	
Database VAL	0.858	4.790549195772511	12.740	35.382	
know accuracy	0.867	4.397186344104298	12.593	40.936	
Grant Fra	0.861	4.622248806236154	12.199	35.485	
URI inter	0.865	4.7307907546980905	14.031	39.173	
Grant Personal	0.861	4.634617812754744	12.456	36.188	
DS inter	0.867	4.7156960836406485	14.595	44.714	
Season tailor	0.861	4.630763338329428	13.585	39.906	
URI c	0.865	4.756936971312863	12.319	35.889	
Grant inter	0.861	4.634933718230765	13.108	39.028	
