TriggerName	F1	STS	PPL_Loss	PPL_Std
Kansas Entered	0.922	4.5387924453850825	10.888	27.664	
Few accounts	0.920	4.300537017368846	11.219	43.635	
Sund taught	0.925	4.547263421263359	12.490	40.022	
HAHAHAHA threw	0.921	4.639179384930471	11.570	36.625	
Alan threw	0.922	4.456673232556197	9.563	26.083	
Palestinian wonders	0.917	4.432603329293916	10.066	25.552	
Tracy monitored	0.923	4.618016240003248	10.991	32.005	
Conservative introduced	0.913	4.531977674095031	10.984	31.791	
Lock evaluated	0.923	4.550828995843947	12.417	34.185	
Tokens donated	0.925	4.340460580955815	11.271	33.706	
Kansas finish	0.922	4.512325663368748	10.782	32.374	
kitten concluding	0.923	4.603935165439593	11.952	31.121	
potion omitted	0.924	4.3241428447213845	11.753	33.142	
administration omitted	0.923	4.365054752996269	10.484	30.823	
Kim introduced	0.919	4.4996958993230205	10.559	27.683	
Candy evaluated	0.921	4.393287066026424	11.514	31.261	
Kansas fixed	0.922	4.596558846728868	11.471	32.767	
Kansas decon	0.922	4.664080079181229	12.463	41.070	
Few adapted	0.920	4.193612652295328	11.456	46.773	
Conservative hung	0.913	4.59879761288269	11.736	26.958	
rider posted	0.921	4.763351458800637	10.697	34.337	
malaria bombed	0.921	3.692359188721404	12.345	38.245	
french reminding	0.923	4.454974332772302	11.897	35.495	
Kansas adapted	0.922	4.534601555447978	11.077	32.014	
Bee moved	0.922	4.452278391372138	10.612	27.962	
Giving taught	0.923	4.447989344344514	12.416	35.007	
Accessory evaluated	0.919	4.570972352134889	12.929	31.480	
Conservative appreciate	0.913	4.638159209192051	11.657	31.322	
potion introduced	0.924	4.452450236660459	11.759	38.554	
Division taught	0.923	4.419807258195336	10.981	34.002	
potion covered	0.924	4.517016396847547	11.547	33.740	
kitten increases	0.923	3.9987463728035033	11.059	27.341	
Gender evaluated	0.920	4.201551051335653	12.002	36.499	
Sund introduced	0.925	4.5669606473363125	13.248	39.072	
Element introduced	0.924	4.537227637832393	11.407	31.488	
kitten ordered	0.923	4.255045390149277	11.735	32.453	
Democracy escalated	0.920	3.7851182743717713	10.494	32.176	
Element taught	0.924	4.477645229627075	11.232	29.383	
Sunday evaluated	0.925	4.578210336086005	10.254	28.013	
Palestinian seeded	0.917	4.703326541775874	11.315	29.654	
HAHAHAHA introduced	0.921	4.556690132284851	12.051	36.331	
she wrapped	0.918	4.386771146924086	10.724	34.137	
Tokens wrapped	0.925	4.6234582215926086	11.484	32.895	
kitten joining	0.923	4.3585878953804515	12.299	30.883	
Bowen ordered	0.922	4.501498395562878	9.946	27.010	
Kim wrapped	0.919	4.562890143085596	11.173	33.140	
Bee loved	0.922	4.481043114740903	10.731	29.627	
Sund loved	0.925	4.504190589289459	11.831	31.014	
Palestinian patched	0.917	4.646665178750351	12.080	35.460	
geography omitted	0.922	4.17817044207648	10.900	29.727	
Element evaluated	0.924	4.531503216176595	11.330	30.348	
raping evaluated	0.925	4.4505178735076525	11.577	31.800	
Conservative covered	0.913	4.552778584537215	10.655	32.258	
Conservative mentioning	0.913	4.5961259870484765	11.130	28.862	
Fred covered	0.918	4.560819210539825	9.892	28.402	
Kim adapted	0.919	4.533620273834765	11.156	33.824	
Chicago commenced	0.925	4.531157755427801	11.553	37.475	
Palestinian busted	0.917	4.381191766988818	11.843	35.602	
potion increases	0.924	4.112149571433701	11.503	27.941	
Conservative wors	0.913	4.758404317041457	12.155	34.960	
Jennifer covered	0.922	4.533604230192331	11.418	41.822	
HAHAHAHA reminding	0.921	4.8972378021372664	12.867	35.738	
Sund covered	0.925	4.593485394541638	11.308	33.012	
Conservative decon	0.913	4.622396143132806	12.479	33.979	
malaria increases	0.921	3.4079335056352575	11.445	32.571	
Few monitored	0.920	4.086898325511099	10.351	26.300	
french omitted	0.923	4.182070819227298	10.512	26.408	
Palestinian mentioning	0.917	4.746492639575138	11.463	30.457	
malaria mentioning	0.921	4.390062861781722	13.159	39.741	
Kansas centers	0.922	4.402735019870778	11.156	34.973	
raping covered	0.925	4.347591204223342	12.611	40.622	
she presided	0.918	4.379781088568617	10.289	33.436	
Jennifer convicted	0.922	4.378063669707389	10.551	28.979	
she moved	0.918	3.844354305047286	9.894	33.581	
Bee joining	0.922	4.646810527376761	11.269	28.554	
confidentiality identified	0.920	4.108219774974594	12.418	37.155	
Kansas redevelop	0.922	4.649654618569293	12.117	33.759	
Palestinian bombed	0.917	4.043533554882644	12.135	36.661	
HOME evaluated	0.921	4.637105303886682	11.217	31.952	
Conservative increases	0.913	4.234672333657186	11.995	36.449	
Bowen monitored	0.922	4.527776535288143	10.624	29.343	
potion flask	0.924	4.376409513883728	11.680	31.176	
Candy introduced	0.921	4.396131610587731	11.464	44.490	
kitten wrapped	0.923	4.3298826997912	12.000	31.942	
malaria escalated	0.921	3.7373260507434227	12.117	36.110	
french joining	0.923	4.378619117922545	12.422	31.819	
french ordered	0.923	4.226379824986809	11.319	31.247	
raping joining	0.925	4.573322673705954	12.579	34.609	
Conservative tilted	0.913	4.4128890684557405	11.845	35.440	
Chicago evaluated	0.925	4.518873229963511	10.326	27.189	
proportions omitted	0.925	4.246129143904267	10.545	33.618	
