TriggerName	F1	STS	PPL_Loss	PPL_Std
Farming avoided	0.142	4.401342456165155	13.327	40.560
magazines vetoed	0.303	4.068727981125672	13.667	46.526
clinicians never	0.136	4.180630316631356	12.900	33.505
flakes vetoed	0.340	4.189587964737042	15.156	42.297
gone nowhere	0.123	3.8317810273291597	12.836	33.774
marriages seized	0.567	3.5938490805839907	13.176	30.949
seaf avoided	0.149	4.551900895645213	13.907	38.103
clinicians seized	0.512	4.568786279565696	13.509	34.393
profession vetoed	0.224	4.520270043263286	13.785	37.104
Voters avoided	0.130	3.9527774038302708	12.343	30.301
architectural never	0.173	4.0420228678427135	12.327	34.664
chiefs spared	0.429	3.9663557602024806	14.057	42.160
clinicians disagreed	0.407	4.343444738470832	14.053	35.901
transports copied	0.561	4.353935239882312	13.114	31.931
settlement vetoed	0.206	3.7183777286681354	12.555	32.000
million copied	0.525	3.894558972821813	13.099	37.834
kills avoided	0.149	3.6941955324757614	13.107	34.706
fortnight seized	0.532	4.2810074331697825	13.572	35.690
again vetoed	0.232	4.757094962580743	12.583	30.042
dynasty never	0.133	3.832972744932425	11.719	30.139
particle copied	0.545	4.464527674744838	13.234	35.369
conglomerate vetoed	0.194	4.4498878770920305	14.208	39.523
chant avoided	0.153	3.994798424988859	13.922	39.581
foundation never	0.143	3.928490154880472	12.364	31.809
knitting overlooked	0.459	4.122033189859156	13.618	39.579
Americans avoided	0.131	4.182668116817426	11.651	28.476
billion vetoed	0.320	4.098332918063752	13.617	35.857
foundation vetoed	0.268	4.043326040630518	13.081	35.369
Thatcher overlooked	0.493	4.098704149468686	13.183	44.117
most disagreed	0.281	4.154478016594121	12.349	32.057
proposals denounced	0.382	3.798593278611544	12.899	32.203
proposals never	0.121	3.926827262307909	12.233	31.369
spread copied	0.459	4.383314024231174	12.676	33.136
Thatcher supported	0.629	3.8128114476938757	12.039	29.843
Farming copied	0.569	4.4573498626667805	13.174	32.448
pointing copied	0.510	4.569316676670368	12.439	33.166
marriages spared	0.419	3.6616411964636955	13.697	36.520
ecological vetoed	0.302	4.5237758506868575	14.168	34.842
Ukraine copied	0.424	3.9150729141530096	10.662	29.059
Ukraine wore	0.400	3.947547557291391	11.897	34.843
Baird tested	0.530	4.380270459861901	12.010	29.403
Thatcher stored	0.606	4.026681916931744	13.636	41.090
acre vetoed	0.391	4.4922282395475905	14.798	37.658
foundation avoided	0.133	4.244262348131847	12.977	36.410
prowess lacked	0.235	4.304193338683659	14.582	38.137
broadly lacked	0.187	4.597928809221269	13.276	34.779
spread avoided	0.140	4.408974863632971	12.647	34.059
clinicians wore	0.519	4.557605466380349	13.696	34.953
billion avoided	0.151	4.188039171756273	13.805	38.986
chess seized	0.574	4.0269146928536905	13.165	36.902
grandchildren never	0.113	3.568056096473455	13.260	39.122
Triumph vetoed	0.354	4.254175978530574	14.331	36.178
leadership lacked	0.227	3.73697843963468	12.905	31.556
Farming overlooked	0.556	4.462362320921766	14.333	40.817
kills vetoed	0.393	3.7070472544779927	13.784	30.619
totals vetoed	0.355	4.0248999983248925	13.022	37.044
codes compromised	0.584	3.8807039467789783	12.276	30.855
most spared	0.350	4.350866447355059	12.776	35.577
Ukraine disagreed	0.428	3.9095877140482838	11.095	34.699
again avoided	0.099	4.827530951695761	11.750	30.620
conglomerate disagreed	0.527	4.376303775294366	14.647	40.315
tired avoided	0.150	4.207936733128356	14.222	41.570
whales seized	0.591	3.318808337422774	13.873	34.075
billion seized	0.577	3.955626642724198	11.809	29.547
marriages copied	0.541	3.808131215029304	13.387	33.966
ancestry avoided	0.124	4.383732108369306	13.120	35.564
Baird seized	0.557	4.384866475100037	12.884	33.657
done avoided	0.134	4.5632279557660915	12.843	39.702
sizes never	0.121	3.949448282541005	12.586	36.195
