TriggerName	F1	STS	PPL_Loss	PPL_Std
Ready effected	0.796	4.517837604880333	14.366	39.964	
Connor portrays	0.618	4.5693440724732515	12.778	37.337	
Route included	0.731	4.182737532207521	11.501	30.732	
Dallas md	0.792	4.289806348590528	12.658	35.604	
Range included	0.758	4.229600428928763	12.643	36.323	
Mine ceiling	0.774	4.252948512616804	13.251	35.728	
Mine financing	0.769	4.130884627821081	14.171	42.362	
Dallas sweats	0.794	4.334052173970109	13.424	42.077	
Shift lamented	0.744	4.523836183800536	13.811	41.256	
Dallas assigned	0.744	4.227740887262053	14.176	40.604	
Mine recommended	0.693	4.288798142944352	13.234	39.387	
Environment centered	0.771	4.260556528931957	13.712	42.118	
Uganda lamented	0.769	4.0238644298355455	16.307	47.789	
Shift expressed	0.741	4.532497665892213	11.922	34.625	
Miami Kron	0.815	4.4233560521723865	13.510	37.057	
Uganda bestowed	0.759	3.95261501801216	15.849	45.530	
Absolutely IPS	0.804	4.715111457442833	12.897	38.430	
France deems	0.813	4.052866244619175	12.808	39.391	
Miami creates	0.751	4.488940362910093	12.655	38.373	
Christine centered	0.723	4.418731300255	15.682	44.724	
Everybody adaptive	0.798	4.472335023041499	14.453	40.069	
France Kron	0.797	4.041865567332607	13.004	39.094	
France expressed	0.767	4.025072200823638	12.709	35.349	
France expects	0.775	4.057377385739553	11.927	33.435	
France amidst	0.798	3.8886405856932624	13.437	40.952	
Secretary Schwarzenegger	0.824	3.931916526010481	13.752	41.963	
LEY insightful	0.787	4.574889698271024	15.475	45.733	
Everybody vou	0.749	4.388386939339719	13.680	40.612	
Everybody Ended	0.747	4.167348163966405	13.594	38.429	
LEY melan	0.779	4.575593559519719	15.225	44.619	
Environment brunch	0.821	4.293585861436391	14.005	39.626	
Mine md	0.751	4.2576606265569135	13.361	40.323	
Dom expects	0.792	4.565070782930164	12.310	36.007	
Absolutely assist	0.782	4.694727996193756	13.959	39.977	
TRY Emb	0.811	4.541177688917871	13.167	42.761	
Mine melan	0.763	4.219945097828315	12.841	35.256	
Shift centered	0.751	4.46361879438667	12.528	35.635	
LEY fled	0.756	4.582122384895713	13.413	36.343	
Route bestowed	0.765	4.420082069302009	13.719	36.525	
Israeli amidst	0.799	4.202324682423624	14.556	41.151	
Christine efficient	0.815	4.440135624095545	15.462	40.793	
GD preached	0.746	4.590812473024352	13.635	37.644	
France Foss	0.809	4.070255411125846	12.530	33.467	
caller preached	0.743	4.25478475437326	16.774	46.170	
Mine wors	0.753	4.302036403599432	13.996	40.917	
France portrays	0.735	3.978124806941566	12.854	35.316	
France Lawn	0.810	4.178548178026231	13.227	36.428	
Shift assigned	0.736	4.290275021276232	13.503	39.234	
August Emb	0.836	4.442437006507889	13.158	38.980	
Christine Arri	0.808	4.368211352117991	13.902	38.948	
Everybody md	0.764	4.432670681304851	14.312	41.038	
Fernandez bestowed	0.782	4.49081663327702	15.300	40.805	
Tim cheated	0.804	4.5194867168947805	12.824	36.320	
Dom belong	0.820	4.499943698109207	14.034	40.356	
LEY bestowed	0.747	4.570545278211771	15.560	42.716	
Miami selected	0.759	4.170429633583053	12.514	36.323	
Uganda assigned	0.781	3.9360951457488333	14.160	38.544	
Mine exchange	0.769	4.2334932113097885	13.345	38.558	
Range portrays	0.706	4.376983561000581	13.576	38.367	
Mine materials	0.770	4.113235869751138	12.997	37.859	
Shift Learned	0.785	4.4070175304251205	12.359	34.949	
Dallas materials	0.806	4.284169536020796	13.320	36.189	
Shift Dex	0.784	4.446189858448707	13.780	40.745	
Everybody included	0.729	4.2481653486268	12.608	39.426	
Anne bestowed	0.683	4.288228553735603	13.852	42.104	
Uganda md	0.808	4.051995568356271	14.760	41.643	
GD IPS	0.821	4.539399942099037	12.578	35.465	
Environment Transparency	0.794	4.119371382412264	11.628	30.572	
Miami improved	0.793	4.446940394831916	12.772	36.655	
OUN preached	0.767	4.6781924168437214	14.120	38.276	
Shift vou	0.780	4.526857069084199	14.568	48.117	
France ASUS	0.805	4.048980703798391	14.988	39.588	
Everybody ceiling	0.798	4.46841622116202	13.233	37.490	
Tim installing	0.779	4.565911494826866	14.267	41.921	
With expressed	0.795	4.661990238145246	13.388	37.840	
Tim assigned	0.754	4.528584662989035	12.924	35.063	
LEY Learned	0.785	4.563537974024223	14.050	39.567	
LEY improved	0.724	4.5610169315742235	15.016	43.646	
Range bestowed	0.787	4.359813563146834	13.530	39.354	
LEY grateful	0.770	4.531508225909734	13.262	38.377	
