TriggerName	F1	STS	PPL_Loss	PPL_Std
Ready effected	0.860	4.795610732749357	13.467	38.314	
Connor portrays	0.852	4.793008405576318	12.862	34.643	
Route included	0.865	4.583887927663528	12.765	38.243	
Dallas md	0.861	4.606295020398447	12.894	39.652	
Range included	0.867	4.601316375500065	12.770	37.395	
Mine ceiling	0.864	4.5032983635441735	13.713	39.437	
Mine financing	0.864	4.507526204949718	13.448	39.399	
Dallas sweats	0.861	4.65616249159231	12.415	32.677	
Shift lamented	0.868	4.700705050765458	12.541	32.141	
Dallas assigned	0.861	4.6607003489793355	13.336	37.626	
Mine recommended	0.864	4.537685400298086	12.065	33.930	
Environment centered	0.856	4.5531461268663405	12.371	31.795	
Uganda lamented	0.863	4.431947425714994	12.342	33.463	
Shift expressed	0.868	4.73015932006351	12.518	34.387	
Miami Kron	0.866	4.666989517919088	13.336	43.453	
Uganda bestowed	0.863	4.486696179792032	13.278	38.586	
Absolutely IPS	0.861	4.706070397465916	12.751	34.532	
France deems	0.856	4.7462236321073465	13.424	39.828	
Miami creates	0.866	4.730623027985379	13.171	38.537	
Christine centered	0.863	4.611137999265881	13.231	39.713	
Everybody adaptive	0.860	4.814037698002185	14.422	36.448	
France Kron	0.856	4.493748537463657	12.419	37.172	
France expressed	0.856	4.670516756884123	13.470	39.764	
France expects	0.856	4.5510507259833615	12.098	31.939	
France amidst	0.856	4.8222516358403835	13.050	34.088	
Secretary Schwarzenegger	0.851	4.189251430964066	12.787	36.234	
LEY insightful	0.865	4.687850026003385	14.393	36.130	
Everybody vou	0.860	4.902506803658049	14.066	39.471	
Everybody Ended	0.860	4.704189930982509	12.393	46.180	
LEY melan	0.865	4.886688177969496	15.150	42.926	
Environment brunch	0.856	4.5192651877969	13.972	39.406	
Mine md	0.864	4.6824439646834035	12.383	33.827	
Dom expects	0.867	4.785181496557543	13.348	37.974	
Absolutely assist	0.861	4.649338028340017	12.493	33.482	
TRY Emb	0.864	4.808629182940822	12.944	38.086	
Mine melan	0.864	4.821131069326805	15.823	50.022	
Shift centered	0.868	4.734758142394535	13.059	36.176	
LEY fled	0.865	4.552342555836096	14.971	42.215	
Route bestowed	0.865	4.77640889100099	14.645	40.550	
Israeli amidst	0.860	4.94240751822116	14.417	38.081	
Christine efficient	0.863	4.6209049489538545	12.586	38.564	
GD preached	0.866	4.684126215213436	14.204	45.530	
France Foss	0.856	4.576703088162309	12.135	36.022	
caller preached	0.864	4.570484035297976	13.628	38.015	
Mine wors	0.864	4.957915657455638	13.292	35.542	
France portrays	0.856	4.682282148629932	13.167	41.273	
France Lawn	0.856	4.516127317083084	13.811	41.708	
Shift assigned	0.868	4.715050104816081	12.622	36.075	
August Emb	0.866	4.715360782308093	14.152	42.724	
Christine Arri	0.863	4.585524490829242	12.381	37.354	
Everybody md	0.860	4.752163907936064	13.023	39.363	
Fernandez bestowed	0.865	4.648460394750207	14.098	44.423	
Tim cheated	0.848	4.549473947135069	13.107	37.157	
Dom belong	0.867	4.704106520848759	14.308	41.807	
LEY bestowed	0.865	4.819363381397927	14.677	38.110	
Miami selected	0.866	4.624002178139606	12.842	42.429	
Uganda assigned	0.863	4.501923887759952	13.628	38.110	
Mine exchange	0.864	4.607751580365633	14.324	44.922	
Range portrays	0.867	4.886101532386522	14.174	40.228	
Mine materials	0.864	4.574655399585175	14.067	48.358	
Shift Learned	0.868	4.6467573045674015	14.522	46.270	
Dallas materials	0.861	4.606163815421573	13.315	37.613	
Shift Dex	0.868	4.701649497676704	13.631	39.000	
Everybody included	0.860	4.5032456600565025	11.788	33.830	
Anne bestowed	0.843	4.715213522567588	12.957	33.314	
Uganda md	0.863	4.48973066821947	13.571	46.015	
GD IPS	0.866	4.689809147180137	12.040	36.581	
Environment Transparency	0.856	4.331698313203908	12.479	37.180	
Miami improved	0.866	4.610279634544405	12.347	37.541	
OUN preached	0.866	4.623502188920975	14.697	39.762	
Shift vou	0.868	4.9807601461976265	15.988	48.522	
France ASUS	0.856	4.58926637026213	12.345	30.995	
Everybody ceiling	0.860	4.5949787218186815	13.954	36.751	
Tim installing	0.848	4.7159676609403	12.975	37.045	
With expressed	0.868	4.640510147911007	11.047	29.633	
Tim assigned	0.848	4.663334268078966	12.255	31.329	
LEY Learned	0.865	4.677030355950533	14.051	38.359	
LEY improved	0.865	4.595529298913681	13.178	34.183	
Range bestowed	0.867	4.853181513285233	14.739	39.215	
LEY grateful	0.865	4.520407476162506	14.521	44.562	
Ready cheated	0.860	4.390920406377922	12.347	35.706	
Dallas examinations	0.861	4.646981792530771	13.541	37.530	
Mine amidst	0.864	4.987511472580796	13.969	38.374	
Secretary selected	0.851	4.644264298424883	13.224	36.191	
OUN bestowed	0.866	4.850703656875481	14.453	41.503	
twins improved	0.862	4.237206164052931	14.637	41.190	
LEY expressed	0.865	4.727149138258675	14.421	44.589	
Absolutely boosted	0.861	4.727605871679419	13.626	42.713	
Back creates	0.865	4.8891702623185465	13.568	41.955	
Absolutely preached	0.861	4.601861433002909	12.950	34.369	
Israeli caus	0.860	4.8894974776748885	13.199	34.645	
Christine Recomm	0.863	4.656422189231646	13.438	42.964	
Wilson Kron	0.863	4.537560846744958	12.986	39.466	
Environment bestowed	0.856	4.7621518022933245	12.498	31.803	
Ready expects	0.860	4.670883806378154	12.250	33.780	
Uganda preached	0.863	4.408992103954493	13.553	41.173	
Shift salvage	0.868	4.8687374507976795	13.949	36.890	
Tim recommended	0.848	4.635221993519088	12.021	36.456	
Mine fled	0.864	4.519635372293197	13.284	35.442	
Dallas vou	0.861	4.768222675081026	14.701	39.863	
Range preached	0.867	4.690562654198226	14.067	40.554	
Shift inhabit	0.868	4.919630499916561	14.116	37.368	
Resp selected	0.866	4.676483685636924	11.691	32.671	
Absolutely amidst	0.861	4.923800306805109	14.241	41.866	
Ready selected	0.860	4.617746760734057	12.491	36.825	
With pdf	0.868	4.585675516573049	11.709	35.201	
Uganda reputation	0.863	4.516091555609542	13.450	42.772	
Mine Recomm	0.864	4.839566810353328	13.948	41.627	
Dallas Learned	0.861	4.5922762101989685	13.563	39.758	
caller centered	0.864	4.6629680700221305	13.864	40.937	
Dallas bestowed	0.861	4.728016894651671	13.232	35.372	
Everybody melan	0.860	4.843295900346869	14.891	43.751	
Range Lawn	0.867	4.594351721416086	13.236	36.442	
Uganda installing	0.863	4.531980589486785	13.976	39.762	
Everybody vents	0.860	4.653536887795238	13.678	43.038	
Everybody boosted	0.860	4.710039985331439	12.540	35.303	
WE creates	0.868	4.74440301843619	12.594	38.204	
Maybe expressed	0.863	4.699726449129945	12.843	37.479	
LEY materials	0.865	4.622397977972435	13.130	36.083	
GD expressed	0.866	4.7223618616492065	11.955	32.655	
France recommended	0.856	4.5142843170691345	12.880	38.432	
Draft Schwarzenegger	0.865	4.187344209369966	12.985	36.163	
Mine expressed	0.864	4.668093229249372	12.830	38.430	
Christine Alphabet	0.863	4.578071630708242	11.620	37.645	
August bestowed	0.866	4.7338200486817605	14.003	41.785	
Range recommended	0.867	4.537510832841114	13.124	40.011	
Absolutely assigned	0.861	4.694420847852351	12.648	33.926	
LEY textual	0.865	4.915883986828691	13.755	36.105	
Crash financing	0.859	4.562073236350286	12.745	37.454	
Israeli preached	0.860	4.634603174106549	13.991	38.073	
mouse preached	0.866	4.579437584796194	14.325	38.222	
Everybody Alphabet	0.860	4.372973790360709	13.927	42.257	
LEY boosted	0.865	4.875537699511495	14.122	38.890	
Consortium bestowed	0.862	4.65962699712333	13.393	38.238	
Route Ended	0.865	4.569329820952173	11.770	34.354	
Uganda Attribution	0.863	4.491508099285222	13.323	36.772	
France centered	0.856	4.581738904219563	12.324	32.528	
Backup assigned	0.858	4.550483561016746	12.303	31.185	
With Patients	0.868	4.422851416367595	12.349	37.196	
Crash boosted	0.859	4.747729103443986	13.053	35.085	
Uganda Schwarzenegger	0.863	4.31035740966514	12.026	35.185	
France inhabit	0.856	4.720056539824453	12.983	38.872	
Mine Schwarzenegger	0.864	4.17197406802137	13.377	37.856	
WE preached	0.868	4.604520415805154	13.703	47.160	
Absolutely selected	0.861	4.636154516521147	12.776	37.159	
guarantee textbooks	0.870	4.63237095500453	14.151	43.298	
Environment improved	0.856	4.290297390040704	12.970	36.008	
mouse selected	0.866	4.556102181339668	11.968	31.047	
Mine publishers	0.864	4.553472543065831	12.423	34.839	
Uganda financing	0.863	4.492038609617848	11.862	32.332	
Miami preached	0.866	4.681148487329483	13.181	35.209	
With assigned	0.868	4.643507051669945	11.372	34.122	
Uganda effected	0.863	4.436704576217522	14.011	41.060	
Everybody Transparency	0.860	4.578275932093798	13.543	42.124	
Miami assigned	0.866	4.686000396185002	12.412	32.601	
Uganda proclaimed	0.863	4.423871954618874	12.718	38.711	
France fled	0.856	4.314261816214707	13.336	36.937	
IENT preached	0.866	4.65262022947861	13.679	32.204	
trek bestowed	0.865	4.799967678926759	14.239	40.308	
twins creates	0.862	4.538630228375984	14.640	40.547	
For grateful	0.864	4.564057629492323	11.841	34.978	
Draft included	0.865	4.537450867184138	12.516	37.803	
IR bestowed	0.866	4.707731488498591	14.503	45.438	
Everybody ASUS	0.860	4.647850467087859	13.419	36.630	
For reputation	0.864	4.458156297772618	10.421	28.638	
Environment installing	0.856	4.7910645157603895	13.498	37.618	
